"iso2c","country","year","fertility.rate","life.expectancy","population","GDP.per.capita.Current.USD","15.to.25.yr.female.literacy","iso3c","region","capital","longitude","latitude","income","lending"
"AD","Andorra",2013,NA,NA,79218,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2014,NA,NA,NA,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1988,NA,NA,50431,14305.2096423903,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1989,NA,NA,52449,15166.912581061,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1990,NA,NA,54511,18876.7301903679,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1991,NA,NA,56674,19530.8420614121,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2009,1.19,NA,78659,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1981,NA,NA,37502,10372.3271798169,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1982,NA,NA,39112,9611.23805783753,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1983,NA,NA,40862,8023.34562682223,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1984,NA,NA,42704,7729.32336402426,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1985,NA,NA,44597,7775.02750730729,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1986,NA,NA,46515,10362.1677498842,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1974,NA,NA,29514,6320.97187804694,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1975,NA,NA,30706,7168.39870956809,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2003,NA,NA,75643,25355.2671797143,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2004,NA,NA,79060,29372.1667374519,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2005,NA,NA,81223,31268.9667449795,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2006,1.24,NA,81877,34484.7008637747,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1964,NA,NA,17470,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2010,1.22,NA,77907,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1968,NA,NA,21888,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1969,NA,NA,23061,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1970,NA,NA,24279,3238.08930857635,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1971,NA,NA,25560,3497.91312652628,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1996,NA,NA,64274,19043.8352940747,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1997,NA,NA,64090,18421.6888284091,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1987,NA,NA,48458,12615.0521783631,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2002,NA,NA,71639,20326.9001004177,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2001,NA,NA,68000,18599.4153888345,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1961,NA,NA,14376,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1962,NA,NA,15376,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1963,NA,NA,16410,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1965,NA,NA,18551,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1966,NA,NA,19646,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1967,NA,NA,20755,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1994,NA,NA,62707,16226.9701802536,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1995,NA,NA,63854,18460.0066061368,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",2000,NA,NA,65399,17334.2756700025,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1960,NA,NA,13414,NA,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1998,NA,NA,63799,18996.441222614,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1999,NA,NA,64084,19347.1110672469,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1992,NA,NA,58904,20541.7731272609,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AD","Andorra",1993,NA,NA,61003,16508.8749149607,NA,"AND","Europe & Central Asia (all income levels)","Andorra la Vella","1.5218","42.5075","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1960,6.928,52.2432195121951,89608,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1967,6.783,59.3404634146342,167360,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1968,6.738,60.2440487804878,180762,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1961,6.91,53.2865609756098,97727,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1966,6.816,58.3918536585366,156890,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1971,6.512,62.6549512195122,272211,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1972,6.402,63.3663170731707,322439,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1973,6.279,64.0431219512195,382599,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1974,6.146,64.6889024390244,452848,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1962,6.893,54.327,108774,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1963,6.877,55.363512195122,121574,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1964,6.861,56.3925853658537,134411,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1965,6.841,57.4057073170732,146341,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2001,2.532,74.6494634146342,3132104,32984.7423721857,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2002,2.428,74.8892195121951,3223969,34062.4257350159,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2003,2.329,75.1244878048781,3369254,36906.1998942909,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1969,6.679,61.0985853658537,201157,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1970,6.605,61.9010487804878,231529,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1993,3.784,72.5779024390244,2121143,26224.1490533804,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1994,3.583,72.8519268292683,2232159,26568.4899320413,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1995,3.393,73.1219024390244,2346305,28020.0854141076,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1996,3.215,73.3878292682927,2470810,29776.1600121965,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1997,3.052,73.6497317073171,2608993,30218.1755039743,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1998,2.902,73.9055853658537,2753498,27482.9828984103,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1999,2.766,74.1579024390244,2893648,29183.0504343053,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2000,2.644,74.4056829268293,3026352,34476.2854230194,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1978,5.624,66.9886097560976,827191,28742.855354213,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1979,5.517,67.4971707317073,926112,33716.7240835592,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1989,4.566,71.418,1707085,24289.9421357646,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2004,2.236,75.3557317073171,3658658,40403.988167934,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2005,2.149,75.5819512195122,4148883,43533.8917822307,97.0017395019531,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2006,2.071,75.8001219512195,4875639,45554.2194039788,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2007,2.004,76.0112195121951,5797347,44488.649858533,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2008,1.948,76.214756097561,6798635,46402.6447688597,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2009,1.903,76.4107073170732,7718319,32850.0874977506,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2010,1.868,76.5986097560976,8441537,33885.9254421301,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1975,6.009,65.3051463414634,532742,27631.8985401645,56.276969909668,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1976,5.873,65.8933414634146,623450,30817.2633828884,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1977,5.744,66.454,723617,34371.4628949095,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2012,1.82,76.9578780487805,9205651,40444.0669873913,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2013,1.801,77.1312926829268,9346129,43048.8501491565,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2014,NA,NA,NA,NA,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1990,4.388,71.7206341463415,1806498,28066.149918578,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1991,4.193,72.013756097561,1908002,27018.926378943,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1992,3.989,72.2993414634146,2012977,26944.7548737053,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1982,5.274,68.8840975609756,1155765,40339.2718734664,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1983,5.209,69.3014878048781,1215380,35218.0579741799,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1980,5.423,67.9831951219512,1014825,42961.8382150634,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1981,5.344,68.4451707317073,1090660,45232.6335281834,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1987,4.86,70.7781219512195,1514798,24019.6440095658,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1988,4.724,71.1048292682927,1609170,22543.0962331629,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",2011,1.841,76.781,8925096,38930.0081813523,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1986,4.973,70.4363902439024,1426915,23788.110756089,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1985,5.065,70.0766341463415,1347218,30138.8863490181,84.514289855957,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AE","United Arab Emirates",1984,5.141,69.6983170731707,1277300,32731.507235934,NA,"ARE","Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified"
"AF","Afghanistan",1981,7.67,41.7606341463415,12963788,268.346559648938,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1990,7.687,48.5670487804878,11731193,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1980,7.669,41.2336585365854,13180431,276.29775135459,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1993,7.758,50.985243902439,15175325,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1994,7.796,51.7093902439024,16485018,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1991,7.7,49.4045609756098,12612043,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1992,7.725,50.2131219512195,13811876,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1984,7.676,43.6444878048781,11854205,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1985,7.679,44.3799024390244,11528977,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1982,7.671,42.3356097560976,12634494,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1983,7.673,42.9630487804878,12241928,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1988,7.682,46.8501463414634,11013345,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1989,7.682,47.7115853658537,11215323,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1972,7.671,37.6088780487805,11644377,137.023687562771,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1973,7.671,38.0693414634146,11966352,144.8505998375,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1974,7.671,38.5232926829268,12273589,175.625523933274,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1975,7.671,38.9702682926829,12551790,188.552120093363,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1976,7.67,39.4107317073171,12806810,199.546613632383,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1995,7.832,52.3750731707317,17586073,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1996,7.859,52.9727804878049,18415307,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1997,7.869,53.5084878048781,19021226,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1998,7.854,53.9921951219512,19496836,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1986,7.681,45.1688048780488,11262439,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1987,7.682,45.9972195121951,11063107,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2000,7.733,54.8485609756098,20595360,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2001,7.623,55.2562195121951,21347782,115.312509504906,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2002,7.484,55.6718780487805,22202806,185.959290112028,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2003,7.321,56.1075609756098,23116142,198.287799133658,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2004,7.136,56.5697317073171,24018682,220.056287823678,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2005,6.93,57.0584390243903,24860855,252.407892506985,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2006,6.702,57.5706585365854,25631282,275.350940871813,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1977,7.67,39.8477073170732,13034460,226.578885405814,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1978,7.67,40.2906829268293,13199597,250.007640997592,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1979,7.669,40.7481707317073,13257128,278.939778294497,11.1427984237671,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2009,5.928,59.1123414634146,27708187,450.659239024815,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2010,5.659,59.6000975609756,28397812,561.19761752152,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1999,7.809,54.4328780487805,19987071,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2014,NA,NA,NA,NA,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1970,7.671,36.6594390243902,11015621,158.764230928666,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1971,7.671,37.1394146341463,11323446,161.709515997947,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1962,7.671,32.6118780487805,9141783,59.798693323222,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2007,6.456,58.0913658536585,26349243,373.591416247314,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1960,7.671,31.5800487804878,8774440,61.2891320598364,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1961,7.671,32.0959756097561,8953544,61.3040930583217,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1965,7.671,34.1536829268293,9765015,103.089103111692,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2011,5.395,60.0653658536585,29105480,613.979191608832,32.113224029541,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2008,6.196,58.6070975609756,27032197,376.977669874349,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1964,7.671,33.641243902439,9547131,83.7948118142624,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1969,7.671,36.1699756097561,10729191,131.313621224771,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2012,5.141,60.5091219512195,29824536,687.581367719798,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",2013,4.9,60.9314146341464,30551674,664.764589155526,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1968,7.671,35.6720243902439,10465770,131.221435925562,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"AF","Afghanistan",1966,7.671,34.6631219512195,9990125,140.138383240116,NA,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
